emoji,hexcode,hfg-priority,hfg-tags
👃,1F443,2,
👄,1F444,2,
👅,1F445,2,
👆️,1F446,1,
👇️,1F447,1,
👈️,1F448,1,
👉️,1F449,1,
👊,1F44A,1,
👋,1F44B,1,
👌,1F44C,1,
👍️,1F44D,1,
👎️,1F44E,1,
👏,1F44F,1,
👐,1F450,1,
👑,1F451,2,
👒,1F452,3,
👓️,1F453,2,
👔,1F454,3,
👕,1F455,3,
👖,1F456,3,
👗,1F457,3,
👘,1F458,3,
👙,1F459,3,
👚,1F45A,3,
👛,1F45B,3,
👜,1F45C,3,
👝,1F45D,3,
👞,1F45E,3,
👟,1F45F,3,
👠,1F460,3,
👡,1F461,3,
👢,1F462,3,
👣,1F463,3,
👤,1F464,1,
👥,1F465,2,
👦,1F466,1,
👧,1F467,1,
👨,1F468,1,
👨‍🌾,1F468-200D-1F33E,3,
👨‍🍳,1F468-200D-1F373,3,
👨‍🎓,1F468-200D-1F393,3,
👨‍🎤,1F468-200D-1F3A4,3,
👨‍🎨,1F468-200D-1F3A8,3,
👨‍🏫,1F468-200D-1F3EB,3,
👨‍🏭,1F468-200D-1F3ED,3,
👨‍👦,1F468-200D-1F466,3,
👨‍👦‍👦,1F468-200D-1F466-200D-1F466,3,
👨‍👧,1F468-200D-1F467,3,
👨‍👧‍👦,1F468-200D-1F467-200D-1F466,3,
👨‍👧‍👧,1F468-200D-1F467-200D-1F467,3,
👨‍👨‍👦,1F468-200D-1F468-200D-1F466,3,
👨‍👨‍👦‍👦,1F468-200D-1F468-200D-1F466-200D-1F466,3,
👨‍👨‍👧,1F468-200D-1F468-200D-1F467,3,
👨‍👨‍👧‍👦,1F468-200D-1F468-200D-1F467-200D-1F466,3,
👨‍👨‍👧‍👧,1F468-200D-1F468-200D-1F467-200D-1F467,3,
👨‍👩‍👦,1F468-200D-1F469-200D-1F466,3,
👨‍👩‍👦‍👦,1F468-200D-1F469-200D-1F466-200D-1F466,3,
👨‍👩‍👧,1F468-200D-1F469-200D-1F467,3,
👨‍👩‍👧‍👦,1F468-200D-1F469-200D-1F467-200D-1F466,3,
👨‍👩‍👧‍👧,1F468-200D-1F469-200D-1F467-200D-1F467,3,
👨‍💻,1F468-200D-1F4BB,3,
👨‍💼,1F468-200D-1F4BC,3,
👨‍🔧,1F468-200D-1F527,3,
👨‍🔬,1F468-200D-1F52C,3,
👨‍🚀,1F468-200D-1F680,3,
👨‍🚒,1F468-200D-1F692,3,
👨‍⚕️,1F468-200D-2695-FE0F,3,
👨‍⚖️,1F468-200D-2696-FE0F,3,
👨‍✈️,1F468-200D-2708-FE0F,3,
👨‍❤️‍👨,1F468-200D-2764-FE0F-200D-1F468,3,
👨‍❤️‍💋‍👨,1F468-200D-2764-FE0F-200D-1F48B-200D-1F468,3,
👩,1F469,1,
👩‍🌾,1F469-200D-1F33E,3,
👩‍🍳,1F469-200D-1F373,3,
👩‍🎓,1F469-200D-1F393,3,
👩‍🎤,1F469-200D-1F3A4,3,
👩‍🎨,1F469-200D-1F3A8,3,
👩‍🏫,1F469-200D-1F3EB,3,
👩‍🏭,1F469-200D-1F3ED,3,
👩‍👦,1F469-200D-1F466,3,
👩‍👦‍👦,1F469-200D-1F466-200D-1F466,3,
👩‍👧,1F469-200D-1F467,3,
👩‍👧‍👦,1F469-200D-1F467-200D-1F466,3,
👩‍👧‍👧,1F469-200D-1F467-200D-1F467,3,
👩‍👩‍👦,1F469-200D-1F469-200D-1F466,3,
👩‍👩‍👦‍👦,1F469-200D-1F469-200D-1F466-200D-1F466,3,
👩‍👩‍👧,1F469-200D-1F469-200D-1F467,3,
👩‍👩‍👧‍👦,1F469-200D-1F469-200D-1F467-200D-1F466,3,
