emoji,hexcode,hfg_tags,hfg_author
📡,1F4E1,"signal, receive, radiation",Sina Schulz
📸,1F4F8,"camera, bright",Sina Schulz
🔎,1F50E,"detail, big, zoom, detective",Sina Schulz
🔭,1F52D,"stars, sky, space",Sina Schulz
🕯️,1F56F,"fire, bright, shine",Sina Schulz
🔑,1F511,closing,Lisa Schulz
🔒️,1F512,"locker, padlock",Lisa Schulz
🔓️,1F513,"locker, padlock",Lisa Schulz
🔐,1F510,,Lisa Schulz
🗝️,1F5DD,,Lisa Schulz
✉️,2709,"post, message",Marius Schnabel
📧,1F4E7,"message, eletronic",Marius Schnabel
📦️,1F4E6,"shipping, post",Marius Schnabel
📤️,1F4E4,post,Marius Schnabel
📥️,1F4E5,post,Marius Schnabel
📩,1F4E9,post,Marius Schnabel
📪️,1F4EA,post,Marius Schnabel
📫️,1F4EB,post,Marius Schnabel
📮,1F4EE,post,Marius Schnabel
💉,1F489,health,Marius Schnabel
💊,1F48A,health,Marius Schnabel
💰️,1F4B0,,Marius Schnabel
💸,1F4B8,,Marius Schnabel
💳️,1F4B3,,Marius Schnabel
💴,1F4B4,,Marius Schnabel
💵,1F4B5,,Marius Schnabel
💶,1F4B6,,Marius Schnabel
💷,1F4B7,,Marius Schnabel
🙈,1F648,,Mariella Steeb
🙉,1F649,,Mariella Steeb
🙊,1F64A,,Mariella Steeb
🎧️,1F3A7,"music, headphones",Sina Schulz
📻️,1F4FB,"radio, stereo radio, analog radio",Sina Schulz
🎚️,1F39A,"studio, music slider",Sina Schulz
🎤,1F3A4,"sound, loud, stage, speech, singing, karaoke, mic, microphone, tone",Sina Schulz
🎵,1F3B5,"song, melody, sounds, tone",Sina Schulz
🎶,1F3B6,"melody, harmony, sounds, rhythm",Sina Schulz
🎙️,1F399,"studio, microphone, stereo, recording",Sina Schulz
🎛️,1F39B,"music, mix, recording, tool, knobs",Sina Schulz
🎼,1F3BC,"violin key, rhythm",Sina Schulz
🥁,1F941,"drum, drumsticks, music, beat",Sina Schulz
🎷,1F3B7,"saxophone, sax, jazz, instrument",Sina Schulz
🎸,1F3B8,"guitar, e-guitar, instrumental, acoustic, chords,",Sina Schulz
🎹,1F3B9,"keyboard, piano keys, chords",Sina Schulz
🎺,1F3BA,"trumpet, horns, music, woodwind instrument",Sina Schulz
